,_id,name
0,0,platelet dense tubular network membrane
1,1,TMA64
2,2,STARD3
3,3,PYCR3
4,4,LOC105375114
5,5,positive regulation of growth rate
6,6,Tooth caries aggravated NOS
7,7,"positive regulation of acetylcholine secretion, neurotransmission"
8,8,LOC100128523
9,9,LOC105371933
10,10,SNORD101
11,11,positive regulation of JUN kinase activity
12,12,N-acylphosphatidylethanolamine-specific phospholipase D activity
13,13,LRRC69
14,14,CUBNP1
15,15,TIMD4
16,16,RNU6-1208P
17,17,KCND3
18,18,NEK2P3
19,19,LOC108254675
20,20,HSD3BP4
21,21,CNIH2
22,22,MRPS21P6
23,23,LOC108004549
24,24,detection of endogenous stimulus
25,25,THAP9
26,26,MHB
27,27,PRDM10
28,28,TG
29,29,LOC145845
30,30,IL2 signaling events mediated by STAT5
31,31,CGAS
32,32,LOC105377651
33,33,CUS2
34,34,ERBB2 Regulates Cell Motility
35,35,negative regulation of cytoskeleton organization
36,36,metabolic syndrome X
37,37,UGT1A7
38,38,Carbamoylcholine
39,39,MTAP
40,40,Peptide chain elongation
41,41,LOC107985154
42,42,AV node cell to bundle of His cell communication by electrical coupling
43,43,YGR126W
44,44,nuclear exosome (RNase complex)
45,45,SEMA3D
46,46,REXO1L5P
47,47,LOC110121001
48,48,OSTCP6
49,49,DEPP1
50,50,LOC100288846
51,51,LINC01602
52,52,LOC107984344
53,53,LOC105378466
54,54,DPM1
55,55,PSMD10P1
56,56,KDM4F
57,57,CPZ
58,58,UPP2
59,59,RNA5SP386
60,60,RN7SL106P
61,61,NXN
62,62,CD96
63,63,LOC105369464
64,64,MIR4785
65,65,Metaraminol
66,66,nucleoside monophosphate metabolic process
67,67,LOC112533682
68,68,CTC-338M12.4
69,69,BSNDP3
70,70,LOC105372686
71,71,NR2F6
72,72,GPR25
73,73,LOC112694721
74,74,LOC105370283
75,75,OR5AN2P
76,76,Diosmin
77,77,TRI-GAT1-3
78,78,"phosphatidylinositol 3-kinase complex, class IA"
79,79,LOC101929528
80,80,lacrimal gland development
81,81,Atypical NF-kappaB pathway
82,82,intrahepatic bile duct development
83,83,LOC105373622
84,84,EPB42
85,85,LOC642484
86,86,Zinc acetate
87,87,Local Anesthesia
88,88,ZNF140
89,89,SMG6
90,90,protein deglycosylation involved in glycoprotein catabolic process
91,91,LOC105374308
92,92,PHKG1
93,93,LOC100421910
94,94,SDH3
95,95,phagocytic vesicle lumen
96,96,LOC112840935
97,97,FBRSL1
98,98,LOC112449713
99,99,ZNF605
100,100,TRK-CTT8-1
101,101,LOC112268266
102,102,ADGRG1
103,103,GLT1
104,104,T cell lineage commitment
105,105,LOC115804250
106,106,LOC102724900
107,107,Cardiomegaly
108,108,LOC105371091
109,109,MRK1
110,110,Glucocorticoid & Mineralcorticoid Metabolism
111,111,LOC112486220
112,112,aldonic acid catabolic process
113,113,C17orf67
114,114,LOC101927745
115,115,establishment or maintenance of monopolar cell polarity
116,116,Cdkn1a
117,117,ERBB signaling pathway
118,118,PRDX3P3
119,119,CYB5D1
120,120,HS6ST2
121,121,extrinsic component of autophagosome membrane
122,122,peptidase activity
123,123,LOC105373475
124,124,SP6
125,125,NINJ2-AS1
126,126,RNU6-861P
127,127,IGLC5
128,128,SEC63P2
129,129,PRDX3P2
130,130,OR52K3P
131,131,CENPX
132,132,exoribonuclease complex
133,133,positive regulation of cell communication by electrical coupling
134,134,"GABA synthesis, release, reuptake and degradation"
135,135,NAGPA
136,136,LOC100130602
137,137,RCBTB2
138,138,Peritoneal adhesions
139,139,LOC105375811
140,140,Alertness decreased
141,141,SLAMF8
142,142,TAP2
143,143,PP2A-mediated dephosphorylation of key metabolic factors
144,144,Tazarotene
145,145,APOBEC3AP1
146,146,ATM1
147,147,mitochondrial large ribosomal subunit
148,148,PRR13
149,149,MPP3
150,150,LACTB2-AS1
151,151,LOC107985039
152,152,ETF1P3
153,153,VN1R46P
154,154,RNF6
155,155,growth plate cartilage chondrocyte development
156,156,PRTG
157,157,RPS3AP44
158,158,E2F3-IT1
159,159,CHST9
160,160,RPL21P61
161,161,MAGED2
162,162,LOC100288763
163,163,LOC107984197
164,164,RPS2P26
165,165,LOC105378351
166,166,ATG11
167,167,LOC107522029
168,168,CREBZF
169,169,GAGE12F
170,170,RNA5SP160
171,171,RN7SKP34
172,172,FAM229A
173,173,RPL17P4
174,174,CTDSP2
175,175,multi organism cell adhesion
176,176,MIR4278
177,177,regulation of cellular amino acid biosynthetic process
178,178,LINC02739
179,179,B cell receptor complex
180,180,IGLV1-36
181,181,HMGB1P12
182,182,OR7E83P
183,183,Panuveitis
184,184,GLE1
185,185,Recognition of DNA damage by PCNA-containing replication complex
186,186,LOC105370068
187,187,neck
188,188,CHRNE
189,189,TRA-CGC1-1
190,190,MRT25
191,191,UTP biosynthetic process
192,192,LOC100420944
193,193,CCL3P1
194,194,rad-51
195,195,FKBP4P7
196,196,LINC02067
197,197,ECH1
198,198,FTLP17
199,199,DFR1
200,200,ZNF32
201,201,LINC00877
202,202,snR81
203,203,SXM1
204,204,LOC105375818
205,205,FANCI
206,206,PEE1
207,207,LOC110121091
208,208,LINC01988
209,209,LOC107985824
210,210,LOC105379850
211,211,ADO1
212,212,COL6A4P1
213,213,SCARNA14
214,214,HSF1 activation
215,215,monomeric IgA immunoglobulin complex
216,216,CNOT7P2
217,217,HYPT9
218,218,box C/D snoRNP complex
219,219,TAOK1
220,220,PCMTD1P5
221,221,MTCYBP17
222,222,LOC112268055
223,223,protein localization to centrosome
224,224,RLIMP1
225,225,ZMYM4
226,226,regulation of protein targeting to mitochondrion
227,227,HCG4P2
228,228,NCOR1P3
229,229,OSH7
230,230,SNF3
231,231,sulfur compound biosynthetic process
232,232,LOC107987350
233,233,kidney vasculature development
234,234,organic hydroxy compound catabolic process
235,235,Cholestatic liver disease
236,236,LOC648774
237,237,TRUND-NNN6-1
238,238,Agranulocytosis
239,239,HINT1P2
240,240,TRS-CGA3-1
241,241,voluntary skeletal muscle contraction
242,242,MTCYBP40
243,243,WAKMAR2
244,244,CHD9
245,245,response to gonadotropin
246,246,RNU6-662P
247,247,IDI1
248,248,mitochondrion organization
249,249,MYOM1
250,250,SOCS5P3
251,251,SLC25A28
252,252,Redness
253,253,RNU6-774P
254,254,CDK4
255,255,platelet alpha granule lumen
256,256,RAB3IP
257,257,CPLANE2
258,258,GAPDHP63
259,259,SPAG4
260,260,ZNF488
261,261,NPCA1
262,262,SGS1
263,263,LRRC8C
264,264,cupric ion binding
265,265,regulation of natural killer cell mediated immune response to tumor cell
266,266,LOC107984952
267,267,MPT5
268,268,NOD1/2 Signaling Pathway
269,269,RBBP6
270,270,MIRLET7A1
271,271,ELOAP1
272,272,thromboxane-A synthase activity
273,273,LOC107986517
274,274,choroid plexus
275,275,Arrhythmogenic Right Ventricular Cardiomyopathy
276,276,LOC111822948
277,277,positive regulation of mineralocorticoid secretion
278,278,ribonuclease H2 complex
279,279,tricarboxylic acid cycle enzyme complex
280,280,negative regulation of cell migration involved in sprouting angiogenesis
281,281,UBL4A
282,282,LOC111562369
283,283,LOC105379829
284,284,RNA5SP77
285,285,KRT18P56
286,286,USP12P1
287,287,TAS2R1
288,288,ISYNA1
289,289,MIR301B
290,290,microtubule plus-end
291,291,SNAR-C2
292,292,CKMT2-AS1
293,293,SYNGR2P1
294,294,LOC101928447
295,295,LOC109611593
296,296,LOC152048
297,297,TRAV8-7
298,298,pyrimidine nucleotide binding
299,299,LOC105372452
300,300,TCAF2P1
301,301,glucocorticoid receptor signaling pathway
302,302,SCAT2
303,303,CEP95
304,304,negative regulation of mitochondrial ATP synthesis coupled electron transport
305,305,FUCA1P1
306,306,Liver X Receptor Pathway
307,307,LOC105369921
308,308,ASB9P1
309,309,LOC100421611
310,310,RNU6-877P
311,311,ADCY9
312,312,NPAP1P2
313,313,LOC100128762
314,314,LOC390705
315,315,RNA5-8SN1
316,316,RTBDN
317,317,LOC100422562
318,318,OR2A9P
319,319,FOXJ2
320,320,LOC105376481
321,321,long-chain fatty acid-CoA ligase activity
322,322,pont
323,323,VIPR1
324,324,RAB18
325,325,LRRC56
326,326,LOC105373978
327,327,PUS1
328,328,regulation of cell communication by electrical coupling involved in cardiac conduction
329,329,TUG1
330,330,HIVEP1
331,331,P2RX5
332,332,LOC110120972
333,333,cellular component assembly involved in morphogenesis
334,334,LOC107985709
335,335,LOC105375671
336,336,CTK2
337,337,hypophysis morphogenesis
338,338,Transcription of E2F targets under negative control by DREAM complex
339,339,NFE2L3P2
340,340,regulation of growth hormone receptor signaling pathway
341,341,RPS10P6
342,342,amino acid salvage
343,343,STRIP2
344,344,C22orf42
345,345,LOC107984867
346,346,MTCYBP16
347,347,LOC105378893
348,348,UBC8
349,349,smoothened signaling pathway involved in dorsal/ventral neural tube patterning
350,350,RPS26P56
351,351,TMSB4Y
352,352,TRBV4-1
353,353,DOCK9-AS1
354,354,Urinary Incontinence
355,355,FUN30
356,356,ASRT8
357,357,LOC100126584
358,358,MIR6832
359,359,LOC105377167
360,360,LOC101927543
361,361,Peripheral sensorimotor neuropathy
362,362,negative regulation of voltage-gated potassium channel activity
363,363,LL22NC03-63E9.3
364,364,MRX77
365,365,CHMP3
366,366,LOC105372826
367,367,ARL2BPP4
368,368,SCAX3
369,369,RNU6-331P
370,370,PRMT2
371,371,LOC100419925
372,372,LOC105370738
373,373,Cervical smear test positive
374,374,Altretamine
375,375,"Vision, Low"
376,376,RNU6-406P
377,377,Pituitary tumour benign
378,378,LOC110120910
379,379,LINC02537
380,380,LOC101929923
381,381,SLC6A1
382,382,positive regulation of vascular endothelial growth factor signaling pathway
383,383,SEN15
384,384,LOC112806067
385,385,ALG1L3P
386,386,MBNL1
387,387,C2orf27AP2
388,388,GPX2
389,389,RPL21P117
390,390,PSMD13
391,391,Ejaculation inhibited
392,392,LOC107986398
393,393,RPL27P1
394,394,MAB21L2
395,395,LOC107983995
396,396,LOC105377989
397,397,PMA-inducible membrane protein ectodomain proteolysis
398,398,KANSL1L
399,399,Doxacurium
400,400,convergent extension involved in neural plate elongation
401,401,positive regulation of vitamin D receptor signaling pathway
402,402,ACAP1
403,403,MIR7855
404,404,positive regulation of JNK cascade
405,405,activation of protein kinase activity
406,406,Underweight
407,407,TEX33
408,408,LOC101928296
409,409,nonribosomal peptide biosynthetic process
410,410,Metastatic melanoma
411,411,SMIM10L1
412,412,intrinsic component of the cytoplasmic side of the plasma membrane
413,413,regulation of cholesterol esterification
414,414,FRA1L
415,415,exocytic insertion of neurotransmitter receptor to plasma membrane
416,416,positive regulation of germinal center formation
417,417,RNU6-889P
418,418,SMAD7
419,419,CCDC150P1
420,420,LOC390586
421,421,CYCSP19
422,422,Amblyopia
423,423,ZNRF2P1
424,424,NSUN5
425,425,ASB7
426,426,LINC00266-4P
427,427,LOC112577495
428,428,SLI3
429,429,Dopexamine
430,430,LOC105373831
431,431,EGO4
432,432,RNFT2
433,433,WDR55
434,434,regulation of progesterone biosynthetic process
435,435,MIR1303
436,436,establishment of Sertoli cell barrier
437,437,LOC107985494
438,438,LOC645357
439,439,LOC105375520
440,440,PRY3
441,441,BIRC6-AS2
442,442,TMEM102
443,443,Pharyngolaryngeal pain
444,444,response to interleukin-7
445,445,DDX58/IFIH1-mediated induction of interferon-alpha/beta
446,446,RNU4-3P
447,447,LOC107984748
448,448,negative regulation of intracellular protein transport
449,449,LOC105378806
450,450,GND1
451,451,suppression by virus of host apoptotic process
452,452,RPL21P85
453,453,WASF1
454,454,positive regulation of fatty acid beta-oxidation
455,455,ANO1-AS1
456,456,protein tetramerization
457,457,RNU4-26P
458,458,TMPRSS3
459,459,RN7SKP158
460,460,PTPN20
461,461,class I DNA-(apurinic or apyrimidinic site) endonuclease activity
462,462,LOC107987084
463,463,LOC101927392
464,464,MIR548J
465,465,UFM1
466,466,regulation of production of miRNAs involved in gene silencing by miRNA
467,467,LOC105372994
468,468,WLS
469,469,HNRNPH2
470,470,LOC100419806
471,471,LINC02321
472,472,PUM2
473,473,lymphangiogenesis
474,474,RNU4ATAC14P
475,475,BMPR1A
476,476,MARK2P17
477,477,LOC106007493
478,478,LOC105375527
479,479,TMEM243
480,480,Dyshidrotic eczema
481,481,Peptic ulcer reactivated
482,482,OR51AB1P
483,483,TUBB6P1
484,484,ZNF511
485,485,LOC105377055
486,486,SEC65
487,487,interleukin-17 secretion
488,488,CPSF2
489,489,Therapeutic response unexpected
490,490,ANKH
491,491,CLEC5A
492,492,MTND5P28
493,493,positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator
494,494,LINC02221
495,495,LRRC61
496,496,DFNA31
497,497,negative regulation of caveolin-mediated endocytosis
498,498,PRKACG
499,499,PPP1R2P1
500,500,LINC02600
501,501,platelet degranulation
502,502,TIM22 mitochondrial import inner membrane insertion complex
503,503,OLFM1
504,504,first spliceosomal transesterification activity
505,505,LOC108169209
506,506,trigeminal ganglion development
507,507,LINC01963
508,508,LOC105379563
509,509,MIR6836
510,510,SEPTIN14P23
511,511,LOC116158521
512,512,TRQ-CTG1-1
513,513,vesicle-mediated transport between endosomal compartments
514,514,ISG15 antiviral mechanism
515,515,negative regulation of anion transport
516,516,RTT103
517,517,LOC400867
518,518,Infantile Apparent Life-Threatening Event
519,519,CTAG2
520,520,SEC1P
521,521,alpha-actinin binding
522,522,Ferric cation
523,523,ERICH6-AS1
524,524,Abiraterone
525,525,Rab GTPase binding
526,526,amide-transporting ATPase activity
527,527,LOC108178991
528,528,FGF7
529,529,LOC105369719
530,530,Deafness permanent
531,531,LDHB
532,532,LOC105371280
533,533,OR11G2
534,534,MARCHF11
535,535,ANKRD10
536,536,CRYAB
537,537,nephron
538,538,positive regulation of trophoblast cell migration
539,539,HMI1
540,540,LOC101930593
541,541,PPIAP84
542,542,TRR-ACG1-2
543,543,LOC105373744
544,544,MIC27
545,545,MS4A14
546,546,muscle cell proliferation
547,547,RAB39A
548,548,cardiac septum cell differentiation
549,549,NDUFA3
550,550,ventral spinal cord development
551,551,LOC107985347
552,552,PPIAL4D
553,553,PPP1R9A-AS1
554,554,HXT8
555,555,ANKRD34C-AS1
556,556,Subconjunctival hemorrhage
557,557,TMEM235
558,558,cyclin-dependent protein serine/threonine kinase activity
559,559,IMMP2L
560,560,zinc ion transport
561,561,SOD1P3
562,562,OR4B2P
563,563,LOC107984537
564,564,LOC110121238
565,565,KIC1
566,566,GTPase activating protein binding
567,567,LOC111982881
568,568,ANIB8
569,569,RPS17P8
570,570,TRN-GTT2-3
571,571,IGHV3-63
572,572,EDDM3DP
573,573,RNU5A-2P
574,574,DNA topoisomerase II activity
575,575,RN7SL625P
576,576,ceramide transport
577,577,MCM5
578,578,NRADDP
579,579,TMEM186
580,580,embryonic retina morphogenesis in camera-type eye
581,581,FAM27E4
582,582,Oesophageal obstruction
583,583,regulation of twitch skeletal muscle contraction
584,584,Porphyria acute
585,585,TMEM213
586,586,flavonol 3-sulfotransferase activity
587,587,LOC105372863
588,588,PRRX2
589,589,LOC105372879
590,590,Hemiplegia transient
591,591,Disulfiram like reaction
592,592,HBAP1
593,593,regulation of neuron maturation
594,594,LOC105370472
595,595,IBD4
596,596,ATP7A
597,597,H3P45
598,598,LOC110120676
599,599,AGBL4-AS1
600,600,SNORA20B
601,601,LOC441750
602,602,DDX1 as a regulatory component of the Drosha microprocessor
603,603,SCN2B
604,604,regulation of axonogenesis
605,605,LOC642677
606,606,RNF214
607,607,EEF1G
608,608,AGO3
609,609,LOC285626
610,610,ZNF653
611,611,LOC105374501
612,612,PRP6
613,613,acylglycerol acyl-chain remodeling
614,614,KNDC1
615,615,Polydactyly
616,616,POU3F1
617,617,Increased Calcium-sensing Receptor Sensitivity
618,618,LOC110121431
619,619,TMEM44-AS1
620,620,LINC02020
621,621,RPS28P4
622,622,SPC34
623,623,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'"
624,624,WARS2
625,625,CENPS-CORT
626,626,positive regulation of glucose metabolic process
627,627,secondary alcohol metabolic process
628,628,Bach1
629,629,LOC116216117
630,630,PDIA3P1
631,631,SPATA4
632,632,regulation of protein kinase B signaling
633,633,KRT8P37
634,634,HIS4
635,635,regulation of amino acid transport
636,636,Incision site complication
637,637,LOC400748
638,638,cellular response to superoxide
639,639,mitral valve morphogenesis
640,640,Hyperprolactinaemia
641,641,RNY3P16
642,642,RXFP4
643,643,LOC101927966
644,644,MTATP6P12
645,645,PSMNSW
646,646,purine deoxyribonucleoside diphosphate metabolic process
647,647,FABP2
648,648,LOC105373664
649,649,LOC728138
650,650,PLAC9
651,651,signal transduction downstream of smoothened
652,652,turbinate bone
653,653,RNU6-1306P
654,654,FBLN1
655,655,LOC110366354
656,656,SSR1P1
657,657,OR1Q1
658,658,DNM1P35
659,659,OR2AT2P
660,660,Ulcer
661,661,alpha-beta T cell differentiation involved in immune response
662,662,COL8A1
663,663,LOC105376000
664,664,C11orf80
665,665,MIR484
666,666,Mood alteration NOS
667,667,CYP17A1
668,668,DAZ3
669,669,LOC100913179
670,670,NKX2-1
671,671,LOC112081407
672,672,regulation of phospholipase C activity
673,673,LOC105377725
674,674,COL25A1
675,675,EZH2P1
676,676,CACUL1
677,677,LINC02803
678,678,FCF1P11
679,679,RPL12P18
680,680,LOC102723338
681,681,MIR3123
682,682,GMP binding
683,683,LOC110121022
684,684,HMGN1P23
685,685,SNRPCP16
686,686,LOC110121124
687,687,LOC107984386
688,688,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity"
689,689,ECM29
690,690,SNORD148
691,691,retinal cone cell development
692,692,RNU6-470P
693,693,RPL12P20
694,694,regulation of postsynaptic density assembly
695,695,positive regulation of natural killer cell chemotaxis
696,696,RNA5SP360
697,697,BCC3
698,698,RN7SL220P
699,699,EMP46
700,700,LINC01002
701,701,LOC105369506
702,702,multivesicular body sorting pathway
703,703,ZNF627
704,704,intrinsic component of postsynaptic specialization membrane
705,705,MIR4638
706,706,regulation of heart induction by regulation of canonical Wnt signaling pathway
707,707,tunica intima
708,708,Azotaemia of renal origin
709,709,LOC101928755
710,710,FKBP11
711,711,interneuron axon guidance
712,712,Application site scar
713,713,TRIM47
714,714,GRP
715,715,LOC105370261
716,716,BDH2P1
717,717,OR4A13P
718,718,extrinsic component of endoplasmic reticulum membrane
719,719,VN1R53P
720,720,RN7SL131P
721,721,RHOG
722,722,DPPA2P1
723,723,GOLGA8K
724,724,KCNH7-AS1
725,725,LOC100533670
726,726,RPLP1
727,727,CD24
728,728,Fluorouracil
729,729,eel-1
730,730,ZNF230
731,731,WDR7
732,732,serotonin receptor signaling pathway
733,733,LOC105374382
734,734,YBL081W
735,735,PMAIP1
736,736,LOC110121280
737,737,SNORA80B
738,738,SLFNL1-AS1
739,739,LOC107986017
740,740,"regulation of CD4-positive, alpha-beta T cell differentiation"
741,741,STB6
742,742,RPL22P1
743,743,Trametinib
744,744,LOC112840913
745,745,Trichorrhexis
746,746,Spinal anaesthesia
747,747,Xiap
748,748,Urination impaired
749,749,LOC112268244
750,750,regulation of high voltage-gated calcium channel activity
751,751,acyl-L-homoserine-lactone lactonohydrolase activity
752,752,LRRC19
753,753,MIR572
754,754,somatic diversification of immune receptors via somatic mutation
755,755,cellular response to potassium ion
756,756,regulation of interleukin-5 production
757,757,alpha-Amyl cinnamaldehyde
758,758,Indigotindisulfonic acid
759,759,Cenpc1
760,760,CUL4AP1
761,761,nuclear pre-replicative complex
762,762,snoRNA localization
763,763,Dry eye syndrome
764,764,Post thrombotic syndrome
765,765,Thrombosis mesenteric vessel
766,766,Dermatomyositis
767,767,ectodermal cell fate commitment
768,768,LOC105373549
769,769,Dipivefrin
770,770,succinate dehydrogenase complex
771,771,positive regulation of mesodermal cell differentiation
772,772,very-low-density lipoprotein particle assembly
773,773,negative regulation of apoptotic process involved in metanephric collecting duct development
774,774,glycerol-3-phosphate O-acyltransferase activity
775,775,SLC16A13
776,776,tube closure
777,777,MRPL57P2
778,778,STRBP
779,779,RNA polymerase III complex
780,780,RPL5P11
781,781,HEPN1
782,782,LOC105375885
783,783,LINC00051
784,784,SPIRE1
785,785,TACR1
786,786,regulation of sodium-dependent phosphate transport
787,787,Cycloplegia
788,788,Muscle relaxant therapy
789,789,MYO1B
790,790,Anaesthetic complication neurological
791,791,LOC100506274
792,792,LOC107985145
793,793,PHKA2-AS1
794,794,RPL3L
795,795,LOC111556158
796,796,establishment or maintenance of transmembrane electrochemical gradient
797,797,organic acid:sodium symporter activity
798,798,Hypovolaemic shock
799,799,Diclofenac Metabolic Pathway
800,800,LILRB5
801,801,HYDIN2
802,802,LOC107984271
803,803,LOC105378329
804,804,DNA double-strand break processing
805,805,MYOZ1
806,806,RPL5P15
807,807,TPST2
808,808,RNA5SP242
809,809,LOC102724070
810,810,acyl-CoA oxidase activity
811,811,LOC105370972
812,812,SEMA4A
813,813,EBI3
814,814,LOC105369391
815,815,JSRP1
816,816,defense response to bacterium
817,817,MYOZ2
818,818,LOC101928636
819,819,male meiosis I
820,820,LOC105372645
821,821,protein localization to nucleoplasm
822,822,LCE1B
823,823,regulation of inositol trisphosphate biosynthetic process
824,824,RNU2-9P
825,825,Pulmonary toxicity
826,826,LOC112694708
827,827,OR5B15P
828,828,nuclear euchromatin
829,829,Trafficking of myristoylated proteins to the cilium
830,830,TRH-GTG2-1
831,831,PRSS40B
832,832,ANXA2P2
833,833,AMZ2P2
834,834,response to BMP
835,835,RPS11P1
836,836,GK6P
837,837,thymidine biosynthetic process
838,838,LOC116309132
839,839,EIF2S1
840,840,regulation of epidermal cell division
841,841,LOC105374270
842,842,negative regulation of monocyte chemotactic protein-1 production
843,843,Kounis syndrome
844,844,Oestrogen low
845,845,ATP10B
846,846,ACTG1P21
847,847,PBRM1
848,848,LOC110121165
849,849,LOC107985898
850,850,Abdominal pain generalised
851,851,Gram-negative bacterial infection NOS
852,852,DPH2
853,853,SNORD97
854,854,positive regulation of macrophage fusion
855,855,IPO11-LRRC70
856,856,mRNA (N6-adenosine)-methyltransferase activity
857,857,HCN3
858,858,Akt1
859,859,Soft tissue infection
860,860,RN7SL151P
861,861,LOC105379082
862,862,PET122
863,863,deadenylation-independent decapping of nuclear-transcribed mRNA
864,864,RPS3AP37
865,865,COPB2
866,866,ATP5MGP5
867,867,Diphosphonates
868,868,AITD1
869,869,LINC02040
870,870,NOP14
871,871,Regulation of PTEN gene transcription
872,872,LOC107987392
873,873,RN7SKP261
874,874,negative regulation of interleukin-18 production
875,875,Cdc25a
876,876,DEFB115
877,877,LOC105371773
878,878,CDY14P
879,879,protein localization to endoplasmic reticulum
880,880,stress-induced premature senescence
881,881,LOC109504728
882,882,FCMTE1
883,883,translational readthrough
884,884,LOC105373334
885,885,KLHL15
886,886,MIR4787
887,887,OR2A12
888,888,FAM183A
889,889,RNU6-832P
890,890,LOC105373131
