a	b
0	0
2	1
3	2
5	3
6	4
7	5
10	6
11	7
12	8
13	9
15	10
17	11
21	12
24	13
25	14
27	15
28	16
30	17
31	18
34	19
35	20
36	21
37	22
38	23
39	24
40	25
42	26
44	27
45	28
49	29
50	30
57	31
58	32
61	33
62	34
65	35
66	36
68	37
71	38
72	39
76	40
78	41
79	42
80	43
81	44
82	45
84	46
85	47
86	48
87	49
88	50
89	51
90	52
92	53
95	54
97	55
99	56
102	57
104	58
107	59
110	60
112	61
113	62
115	63
117	64
119	65
120	66
121	67
122	68
124	69
125	70
131	71
132	72
133	73
134	74
135	75
137	76
138	77
140	78
141	79
142	80
143	81
144	82
147	83
148	84
149	85
150	86
154	87
155	88
156	89
159	90
161	91
168	92
169	93
172	94
174	95
175	96
177	97
179	98
180	99
183	100
184	101
185	102
187	103
188	104
191	105
197	106
200	107
201	108
205	109
208	110
212	111
213	112
214	113
215	114
218	115
219	116
223	117
225	118
226	119
231	120
233	121
234	122
235	123
238	124
241	125
243	126
244	127
245	128
247	129
248	130
249	131
251	132
252	133
254	134
255	135
256	136
257	137
259	138
260	139
263	140
264	141
265	142
268	143
269	144
270	145
272	146
274	147
275	148
277	149
278	150
279	151
280	152
281	153
287	154
288	155
289	156
290	157
292	158
296	159
298	160
300	161
301	162
302	163
303	164
304	165
306	166
307	167
311	168
315	169
316	170
318	171
319	172
321	173
323	174
324	175
325	176
328	177
329	178
330	179
331	180
333	181
337	182
338	183
340	184
342	185
343	186
344	187
349	188
351	189
352	190
353	191
354	192
358	193
360	194
361	195
362	196
363	197
365	198
370	199
373	200
374	201
375	202
377	203
381	204
382	205
386	206
390	207
391	208
394	209
397	210
398	211
399	212
400	213
401	214
402	215
404	216
405	217
406	218
407	219
409	220
410	221
411	222
412	223
413	224
415	225
416	226
418	227
422	228
423	229
424	230
425	231
432	232
433	233
434	234
435	235
436	236
441	237
442	238
443	239
444	240
445	241
448	242
451	243
453	244
454	245
456	246
458	247
460	248
461	249
464	250
465	251
466	252
468	253
469	254
472	255
473	256
475	257
479	258
480	259
481	260
484	261
487	262
488	263
489	264
490	265
491	266
493	267
495	268
497	269
498	270
499	271
501	272
502	273
503	274
504	275
506	276
507	277
513	278
514	279
515	280
519	281
520	282
521	283
522	284
523	285
524	286
525	287
526	288
528	289
530	290
531	291
533	292
534	293
535	294
536	295
537	296
538	297
545	298
546	299
547	300
548	301
549	302
550	303
552	304
555	305
556	306
557	307
558	308
559	309
560	310
566	311
574	312
576	313
578	314
579	315
580	316
583	317
584	318
585	319
586	320
588	321
590	322
591	323
593	324
596	325
599	326
602	327
603	328
604	329
606	330
607	331
608	332
609	333
610	334
613	335
614	336
615	337
616	338
617	339
623	340
624	341
625	342
626	343
627	344
631	345
632	346
635	347
636	348
638	349
639	350
640	351
642	352
646	353
647	354
650	355
651	356
652	357
654	358
657	359
660	360
661	361
662	362
664	363
666	364
667	365
668	366
670	367
672	368
674	369
676	370
681	371
682	372
688	373
691	374
694	375
695	376
702	377
703	378
704	379
706	380
707	381
708	382
710	383
711	384
712	385
713	386
714	387
718	388
721	389
723	390
724	391
726	392
727	393
728	394
730	395
731	396
732	397
735	398
737	399
738	400
740	401
743	402
745	403
746	404
748	405
750	406
751	407
752	408
753	409
754	410
755	411
756	412
758	413
761	414
762	415
763	416
764	417
765	418
766	419
767	420
769	421
770	422
771	423
772	424
773	425
774	426
775	427
776	428
778	429
779	430
781	431
784	432
785	433
786	434
787	435
788	436
789	437
790	438
791	439
794	440
796	441
797	442
798	443
799	444
800	445
804	446
805	447
807	448
810	449
812	450
813	451
814	452
815	453
816	454
817	455
819	456
821	457
822	458
823	459
825	460
828	461
829	462
832	463
834	464
837	465
839	466
840	467
842	468
843	469
844	470
845	471
847	472
850	473
851	474
853	475
854	476
855	477
856	478
857	479
859	480
863	481
865	482
867	483
871	484
874	485
876	486
879	487
880	488
883	489
885	490
886	491
887	492
888	493
891	494
892	495
895	496
896	497
898	498
901	499
902	500
903	501
904	502
905	503
906	504
909	505
910	506
911	507
912	508
913	509
915	510
917	511
918	512
919	513
920	514
921	515
922	516
924	517
925	518
929	519
930	520
931	521
933	522
934	523
937	524
938	525
940	526
943	527
944	528
946	529
948	530
950	531
951	532
952	533
957	534
958	535
959	536
960	537
963	538
